secno,cfr_subject,statement,subject,modality,action_verb,object,target
31.205-22,Lobbying and political activity costs.,(d) Contractors shall maintain adequate records to demonstrate that the certification of costs as being allowable or unallowable (see 42.703-2) pursuant to this subsection complies with the requirements of this subsection.,certification,obligation,maintain,records,subsection
31.205-26,Material costs.,"In computing material costs, the contractor shall consider reasonable overruns, spoilage, or defective work (unless otherwise provided in any contract provision relating to inspecting and correcting defective work).",contractor,obligation,consider,work,provision
31.205-26,Material costs.,"When the contractor can demonstrate that failure to take cash discounts was reasonable, the contractor does not need to credit lost discounts.",contractor,permission,need,discounts,
31.205-33,Professional and consultant service costs.,"However, the contracting officer shall consider the following factors, among others: (1) The nature and scope of the service rendered in relation to the service required.",officer,obligation,consider,factors,service
31.205-33,Professional and consultant service costs.,"Evidence necessary to determine that work performed is proper and does not violate law or regulation shall include— (1) Details of all agreements (e.g., work requirements, rate of compensation, and nature and amount of other expenses, if any) with the individuals or organizations providing the services and details of actual services performed; (2) Invoices or billings submitted by consultants, including sufficient detail as to the time expended and nature of the actual services provided; and (3) Consultants' work products and related documents, such as trip reports indicating persons visited and subjects discussed, minutes of meetings, and collateral memoranda and reports.",subjects,obligation,is,services,meetings
31.205-35,Relocation costs.,(b) The costs described in paragraph (a) of this subsection must also meet the following criteria to be considered allowable: (1) The move must be for the benefit of the employer.,move,obligation,meet,criteria,employer
31.205-35,Relocation costs.,"(d) If relocation costs for an employee have been allowed either as an allocable indirect or direct cost, and the employee resigns within 12 months for reasons within the employee's control, the contractor shall refund or credit the relocation costs to the Government.",contractor,obligation,refund,costs,Government
31.205-36,Rental costs.,"(3) Charges in the nature of rent for property between any divisions, subsidiaries, or organization under common control, to the extent that they do not exceed the normal costs of ownership, such as depreciation, taxes, insurance, facilities capital cost of money, and maintenance (excluding interest or other unallowable costs pursuant to part 31), provided that no part of such costs shall duplicate any other allowed cost.",part,obligation,,cost,costs
31.205-42,Termination costs.,The contracting officer should consider the contractor's plans and orders for current and planned production when determining if items can reasonably be used on other work of the contractor.,items,obligation,consider,plans,contractor
31.205-42,Termination costs.,"Despite all reasonable efforts by the contractor, costs which cannot be discontinued immediately after the effective date of termination are generally allowable.",date,dispensation,are,,termination
31.205-46,Travel costs.,"(iii) If it becomes necessary to exercise the authority to use the higher actual expense method repetitively or on a continuing basis in a particular area, the contractor must obtain advance approval from the contracting officer.",contractor,obligation,obtain,approval,officer
